SA-100-0.95,,,,RHC,,,,GA-200-100-20,,,,MIMIC-200-5,,
Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness
50,0.001847229,102,,50,8.22E-05,111,,50,0.024542804,130,,50,0.819719172,173
250,0.003029776,132,,250,2.11E-04,139,,250,0.053521926,147,,250,2.802807762,185
450,0.004175603,158,,450,3.54E-04,155,,450,0.081490699,159,,450,5.173235312,186
650,0.004155296,170,,650,3.53E-04,157,,650,0.099144546,163,,650,7.460604586,190
850,0.00220405,174,,850,4.12E-04,157,,850,0.297633579,164,,850,9.695321743,190
1050,0.001938716,176,,1050,4.92E-04,157,,1050,0.142759251,170,,1050,11.90896086,190
1250,0.002338732,182,,1250,6.09E-04,157,,1250,0.163760278,164,,1250,14.23076637,192
1450,0.002433347,184,,1450,8.53E-04,157,,1450,0.183910072,166,,1450,16.43741423,193
1650,0.003290118,186,,1650,0.001053145,157,,1650,0.20657499,164,,1650,18.58279069,193
1850,0.004154722,188,,1850,0.001408587,157,,1850,0.231476403,172,,1850,20.92483241,193
2050,0.003994158,190,,2050,0.00160022,157,,2050,0.258509366,173,,2050,23.21110238,193
2250,0.003718429,190,,2250,0.001508292,157,,2250,0.288443447,171,,2250,25.41880664,193
2450,0.005428359,192,,2450,0.002127992,157,,2450,0.313485527,177,,2450,27.68446216,195
2650,0.007449703,194,,2650,0.002470066,157,,2650,0.338233054,174,,2650,31.13890971,195
2850,0.005875393,196,,2850,0.002303839,157,,2850,0.367562727,172,,2850,36.09389412,193
3050,0.00559778,196,,3050,0.002049165,157,,3050,0.386924931,179,,3050,40.73105153,193
3250,0.006804942,196,,3250,0.001937295,157,,3250,0.415281021,175,,3250,43.32748936,193
3450,0.006275537,196,,3450,0.002302829,157,,3450,0.446616892,175,,3450,43.93982973,195
3650,0.007183724,196,,3650,0.002263489,157,,3650,0.459487852,169,,3650,45.02541505,197
3850,0.007418317,196,,3850,0.0023017,157,,3850,0.626397638,177,,3850,47.99581461,197
4050,0.004664115,196,,4050,0.002896147,157,,4050,0.534127936,169,,4050,51.09225268,197
4250,0.00377912,196,,4250,0.002450702,157,,4250,0.5538725,171,,4250,53.69278573,197
4450,0.003982043,198,,4450,0.002646232,157,,4450,0.58862728,172,,4450,55.53264258,197
4650,0.004216467,198,,4650,0.003307763,157,,4650,0.608902642,167,,4650,58.76331093,197
4850,0.004514126,198,,4850,0.002946279,157,,4850,0.617348269,174,,4850,61.68951844,197
5050,0.004420169,198,,5050,0.003097953,157,,5050,0.63306574,175,,5050,62.9709277,197
5250,0.004611838,198,,5250,0.004107479,157,,5250,0.670698488,172,,5250,65.75855666,197
5450,0.004665195,198,,5450,0.002981803,157,,5450,0.702725562,173,,5450,69.79791552,197
5650,0.006985132,198,,5650,0.003963698,157,,5650,0.705227276,165,,5650,71.35136725,197
5850,0.00591554,198,,5850,0.004225884,157,,5850,0.741120869,172,,5850,73.80322659,197
6050,0.006267061,198,,6050,0.003711696,157,,6050,0.76733904,175,,6050,75.7878749,197
6250,0.005970977,198,,6250,0.003093215,157,,6250,0.787928412,175,,6250,120.8758587,197
6450,0.005771294,198,,6450,0.003954444,157,,6450,0.815230553,179,,6450,141.1682324,197
6650,0.006132605,198,,6650,0.003505719,157,,6650,0.845507527,179,,6650,120.8130034,195
6850,0.007015989,198,,6850,0.003654047,157,,6850,0.872463627,170,,6850,95.61899544,193
7050,0.00652692,198,,7050,0.003460938,157,,7050,0.906217594,167,,7050,105.4513264,195
7250,0.007560896,198,,7250,0.003807291,157,,7250,1.027881416,177,,7250,109.4010248,195
7450,0.006574002,198,,7450,0.003898936,157,,7450,0.948901778,175,,7450,109.4928415,195
7650,0.007823152,198,,7650,0.003919147,157,,7650,0.969240022,174,,7650,112.2597583,195
7850,0.008743459,198,,7850,0.013084363,157,,7850,0.990419175,177,,7850,115.3190078,195
8050,0.007440128,198,,8050,0.013639432,157,,8050,1.029128938,175,,8050,117.2189772,195
8250,0.00771012,198,,8250,0.012144217,157,,8250,1.040732364,168,,8250,118.420421,195
8450,0.007458137,198,,8450,0.014580521,157,,8450,1.106042676,168,,8450,123.9534898,195
8650,0.007724895,198,,8650,0.013642193,157,,8650,1.104286341,175,,8650,123.1954157,194
8850,0.011202925,198,,8850,0.012554251,157,,8850,1.12237373,179,,8850,128.7959812,195
9050,0.020540918,198,,9050,0.013347508,157,,9050,1.138735976,169,,9050,123.8351427,194
9250,0.019571221,198,,9250,0.013190784,157,,9250,1.165560493,177,,9250,134.598217,196
9450,0.019923868,198,,9450,0.014911677,157,,9450,1.195208224,175,,9450,119.4027876,194
9650,0.02312528,198,,9650,0.010558165,157,,9650,1.219331419,177,,9650,120.913731,198
9850,0.010078673,198,,9850,0.005381414,157,,9850,1.243893326,177,,9850,124.892228,198
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
