10,,,,,,50,,,,,,100,,,,,,200,,,,,,400,,,,
Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time
100,69.609,71.676,0.629,0.001,,100,69.609,71.676,1.684,0.001,,100,69.609,71.676,3.149,0.001,,100,69.609,71.676,7.774,0.001,,100,69.32,71.676,15.125,0.001
200,69.392,71.676,1.113,0.001,,200,69.32,71.965,3.368,0.001,,200,69.609,71.676,6.261,0.001,,200,69.609,71.676,15.344,0.001,,200,69.392,71.676,28.949,0.001
300,69.609,71.676,1.56,0.001,,300,74.891,77.457,5.085,0.001,,300,69.32,71.387,9.39,0.001,,300,69.609,71.676,22.687,0.001,,300,69.465,72.543,42.157,0.001
400,66.86,71.098,2.043,0.001,,400,74.964,79.191,6.776,0.001,,400,69.609,72.832,12.483,0.001,,400,69.609,71.676,29.999,0.001,,400,70.188,73.41,55.317,0.001
500,51.809,52.312,2.512,0.001,,500,74.385,77.168,8.454,0.001,,500,69.03,71.676,15.605,0.001,,500,69.609,71.676,37.427,0.001,,500,74.964,78.035,68.697,0.001
600,69.609,71.676,3.004,0.001,,600,71.635,75.434,10.107,0.001,,600,69.609,71.676,18.697,0.001,,600,72.214,73.699,44.923,0.001,,600,75.904,77.168,82.292,0.001
700,67.221,70.52,3.468,0.001,,700,76.194,78.613,11.793,0.001,,700,69.537,72.832,21.813,0.001,,700,75.832,77.168,52.24,0.001,,700,73.734,76.879,96.186,0.001
800,69.03,71.676,3.947,0.001,,800,75.977,78.902,13.498,0.001,,800,70.26,73.121,24.926,0.001,,800,75.036,77.168,59.389,0.001,,800,75.181,78.613,109.576,0.001
900,67.149,69.653,4.411,0.001,,900,76.122,78.613,15.149,0.001,,900,73.951,78.035,28.043,0.001,,900,77.062,78.613,66.972,0.001,,900,75.253,79.48,123.551,0.001
1000,64.906,66.474,4.875,0.001,,1000,75.76,78.324,16.849,0.001,,1000,72.431,76.012,31.147,0.001,,1000,76.918,78.324,74.738,0.001,,1000,75.687,79.769,137.574,0.001
