SA-1E12-0.95,,,,RHC,,,,GA-200-150-20,,,,MIMIC-200-100,,
Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness
50,0.00367307,0.032608941,,50,9.19E-05,0.04660767,,50,0.067749961,0.131307517,,50,0.983127285,0.052783316
250,0.002484549,0.036062957,,250,2.65E-04,0.066851414,,250,0.101782188,0.143932917,,250,4.029258888,0.079708241
450,0.001625078,0.047385548,,450,5.72E-04,0.090599852,,450,0.181697186,0.131803876,,450,7.255615899,0.086411352
650,0.0026091,0.089642894,,650,5.60E-04,0.096457394,,650,0.28902392,0.135647561,,650,10.49738261,0.088466216
850,0.003544092,0.097509632,,850,7.55E-04,0.101626468,,850,0.338387307,0.134167362,,850,13.62519488,0.090077704
1050,0.002171429,0.101421433,,1050,0.001146435,0.113267656,,1050,0.394605181,0.133303947,,1050,17.1121866,0.092267729
1250,0.001517148,0.109865599,,1250,0.001203548,0.114418602,,1250,0.47552019,0.138052356,,1250,22.26046056,0.097751174
1450,0.001921987,0.114735467,,1450,0.001602688,0.114418602,,1450,0.615757698,0.140371325,,1450,30.32214607,0.098154325
1650,0.002872259,0.117757207,,1650,0.001576954,0.114418602,,1650,0.630661747,0.144099642,,1650,46.04062958,0.098089813
1850,0.002972032,0.119232655,,1850,0.001956367,0.114418602,,1850,0.70573425,0.136935007,,1850,53.17846112,0.098449548
2050,0.003622476,0.119232655,,2050,0.00165396,0.114418602,,2050,0.758126066,0.131457101,,2050,47.71939264,0.103380898
2250,0.005570431,0.119232655,,2250,0.001464383,0.114418602,,2250,0.832081673,0.131069943,,2250,47.21568574,0.104733775
2450,0.003967478,0.119232655,,2450,0.001599657,0.114418602,,2450,0.93737723,0.139978994,,2450,47.38234026,0.107464214
2650,0.005153237,0.119232655,,2650,0.00176817,0.114418602,,2650,1.032857805,0.13916784,,2650,58.53391866,0.106363585
2850,0.007077735,0.119232655,,2850,0.002695495,0.114418602,,2850,1.131973309,0.145643066,,2850,55.82459956,0.105575529
3050,0.007490606,0.119232655,,3050,0.003209839,0.114418602,,3050,1.202146814,0.134153033,,3050,65.48697591,0.107858763
3250,0.007350835,0.119232655,,3250,0.003360683,0.114418602,,3250,1.290609083,0.141009614,,3250,69.80232182,0.107684434
3450,0.006274844,0.119232655,,3450,0.002732851,0.114418602,,3450,1.324212676,0.139043593,,3450,74.36571619,0.105711193
3650,0.005666358,0.119232655,,3650,0.002460977,0.114418602,,3650,1.360853768,0.137513573,,3650,77.45742245,0.106135618
3850,0.006358682,0.119232655,,3850,0.002525748,0.114418602,,3850,1.446564917,0.137935078,,3850,84.9931038,0.107822434
4050,0.006696378,0.119232655,,4050,0.002670472,0.114418602,,4050,1.494486687,0.137770392,,4050,83.16884084,0.105751759
4250,0.006804596,0.119232655,,4250,0.002723739,0.114418602,,4250,1.583189637,0.140200526,,4250,92.6719306,0.107488778
4450,0.008244355,0.119232655,,4450,0.002933568,0.114418602,,4450,1.65141945,0.140363589,,4450,94.67017576,0.108715618
4650,0.007894776,0.119232655,,4650,0.003352183,0.114418602,,4650,1.748405115,0.138346752,,4650,95.00908738,0.108640323
4850,0.008120235,0.119232655,,4850,0.004468299,0.114418602,,4850,1.808044826,0.137353332,,4850,125.2663002,0.107843299
